"city","YR","M","D","HR","MW"
"Manila",2011,1,28,5,4468
"Manila",2011,1,28,6,4668
"Manila",2011,1,28,7,4577
"Manila",2011,1,28,8,4886
"Manila",2011,1,28,9,5571
"Manila",2011,1,28,10,5979
"Manila",2011,1,28,11,6259
"Manila",2011,1,28,12,6120
"Manila",2011,1,28,13,6083
"Manila",2011,1,28,14,6272
"Manila",2011,1,28,15,6166
"Manila",2011,1,28,16,6068
"Manila",2011,1,28,17,5804
"Manila",2011,1,28,18,5850
"Manila",2011,1,28,19,6183
"Manila",2011,1,28,20,5965
"Manila",2011,1,28,21,5671
"Manila",2011,1,28,22,5492
"Manila",2011,1,28,23,5259
"Manila",2011,1,28,24,4914
"Manila",2011,1,29,1,4616
"Manila",2011,1,29,2,4473
